Post ID,Survey,İlçe / Mahalle,"T.C. İzmir Valiliği Çevre ve Şehircilik İl Müdürlüğü, binanızda hasar tespiti işlemi yaptı mı?",T.C. İzmir Valiliği Çevre ve Şehircilik İl Müdürlüğü'nün hasar tespit sonucu nedir?
2912,Hasarlı Bina,Kültür mah. 1375 sokak no:6 sevil apt kat :2 daire :9 alsancak izmir,Hayır,Bilmiyorum / Henüz belli olmadı
2911,Hasarlı Bina,Gaziemir/atıfbey,Hayır,Bilmiyorum / Henüz belli olmadı
2910,Hasarlı Bina,"Bayrakli, Manavkuyu Mahallesi",Evet,Hasarsız
2909,Hasarlı Bina,Karşıyaka / Zübeyde Hanım Mahallesi,Evet,Hasarsız
2908,Hasarlı Bina,"Bayraklı, Manavkuyu Mahallesi",Evet,Hafif Hasarlı
2907,Hasarlı Bina,Bayraklı Mansuroğlu,Evet,Hafif Hasarlı
2906,Hasarlı Bina,Narlıdere/Ataturk Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2905,Hasarlı Bina,Karşıyaka Yalı mahallesi,Evet,Hasarsız
2904,Hasarlı Bina,Gaziemir/atıfbey mah,Evet,Bilmiyorum / Henüz belli olmadı
2903,Hasarlı Bina,çiğli egekent,Hayır,Bilmiyorum / Henüz belli olmadı
2902,Hasarlı Bina,Sair esref bulvari 35/2 meydan 2 d apartmani,Hayır,Bilmiyorum / Henüz belli olmadı
2901,Hasarlı Bina,Karşıyaka zübeyde hanım mahallesi,Evet,Hasarsız
2900,Hasarlı Bina,Mansuroğlu Mahallesi Bayraklı İlçesi,Evet,Bilmiyorum / Henüz belli olmadı
2899,Hasarlı Bina,Karabağlar,Hayır,Bilmiyorum / Henüz belli olmadı
2898,Hasarlı Bina,gaziemir/sarnıç,Evet,Hasarsız
2897,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2896,Hasarlı Bina,Göztepe Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2895,Hasarlı Bina,İmbatlı Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2894,Hasarlı Bina,Kültür Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2893,Hasarlı Bina,Kültür Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2892,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2891,Hasarlı Bina,KÜLTÜR MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2890,Hasarlı Bina,KONAK,Hayır,Bilmiyorum / Henüz belli olmadı
2889,Hasarlı Bina,Ergene mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2888,Hasarlı Bina,Mimar Sinan Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2887,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2886,Hasarlı Bina,Bornova,Evet,Orta Hasarlı
2885,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2884,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2883,Hasarlı Bina,Mimar Sinan Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2882,Hasarlı Bina,Bornova,Evet,Orta Hasarlı
2881,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2880,Hasarlı Bina,Tepekule mah.,Evet,Hafif Hasarlı
2879,Hasarlı Bina,Aksoy mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2878,Hasarlı Bina,Karabağlar/ basın sitesi mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2877,Hasarlı Bina,Bayraklı - Manavkuyu,Evet,Hasarsız
2876,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2875,Hasarlı Bina,Karabağlar/ basın sitesi mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2874,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2873,Hasarlı Bina,Alsancak Mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2872,Hasarlı Bina,Kültür mah.,Hayır,Bilmiyorum / Henüz belli olmadı
2871,Hasarlı Bina,KONAK,Hayır,Bilmiyorum / Henüz belli olmadı
2870,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2869,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2868,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2867,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
